[dispatch] WELCOME  -> no handler
[dispatch] bct 4 27 0 1 0 0 0 0 0  -> handled
[dispatch] bct 4 28 0 0 0 0 0 0 0  -> handled
[dispatch] bct 4 29 0 0 0 0 0 1 0  -> handled
[dispatch] bct 5 0 0 0 0 0 0 0 1  -> handled
[dispatch] bct 5 1 1 0 0 0 0 0 0  -> handled
[dispatch] bct 5 2 0 0 0 0 0 0 0  -> handled
[dispatch] bct 5 3 0 0 0 0 0 0 0  -> handled
[dispatch] bct 5 4 0 0 0 0 0 0 0  -> handled
[dispatch] bct 5 5 0 1 0 0 0 0 0  -> handled
[dispatch] bct 5 6 0 0 1 0 0 0 0  -> handled
[dispatch] bct 5 7 0 0 0 0 0 0 0  -> handled
[dispatch] bct 5 8 0 0 0 0 0 0 1  -> handled
[dispatch] bct 5 9 0 1 0 0 0 0 0  -> handled
[dispatch] bct 5 10 0 1 0 0 0 0 0  -> handled
[dispatch] bct 5 11 1 0 1 0 0 0 0  -> handled
[dispatch] bct 5 12 0 0 0 0 0 0 1  -> handled
[dispatch] bct 5 13 0 0 0 0 0 0 1  -> handled
[dispatch] bct 5 14 0 2 0 1 0 0 0  -> handled
[dispatch] bct 5 15 2 0 0 0 0 1 0  -> handled
[dispatch] bct 5 16 0 0 0 0 0 0 0  -> handled
[dispatch] bct 5 17 0 1 0 0 0 0 0  -> handled
[dispatch] bct 5 18 1 0 1 0 0 0 0  -> handled
[dispatch] bct 5 19 1 0 0 0 0 0 0  -> handled
[dispatch] bct 5 20 0 0 0 0 0 0 0  -> handled
[dispatch] bct 5 21 1 1 0 0 0 0 0  -> handled
[dispatch] bct 5 22 0 0 0 0 1 0 0  -> handled
[dispatch] bct 5 23 0 0 0 0 0 0 0  -> handled
[dispatch] bct 5 24 2 0 0 0 0 0 0  -> handled
[dispatch] bct 5 25 0 0 0 0 0 0 0  -> handled
[dispatch] bct 5 26 5 0 1 0 0 1 0  -> handled
[dispatch] bct 5 27 1 0 0 0 0 1 2  -> handled
[dispatch] bct 5 28 1 0 0 0 0 0 0  -> handled
[dispatch] bct 5 29 0 0 0 0 0 0 0  -> handled
[dispatch] bct 6 0 1 0 0 0 1 0 0  -> handled
[dispatch] bct 6 1 0 1 0 0 0 0 0  -> handled
[dispatch] bct 6 2 1 0 0 0 0 0 1  -> handled
[dispatch] bct 6 3 1 0 0 0 0 0 0  -> handled
[dispatch] bct 6 4 0 0 0 0 0 0 0  -> handled
[dispatch] bct 6 5 0 0 0 0 0 0 0  -> handled
